world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence
530100.530292,0,530100.416586,-6.761720180511475,-0.136550635099411,-6.761720180511475,-0.136550635099411,False,0.9935874938964844
530100.530292,0,530100.4206105,-6.761606693267822,-0.13735449314117432,-6.761606693267822,-0.13735449314117432,False,0.9869196116924286
530100.530292,0,530100.424555,-6.776756763458252,-0.1397441178560257,-6.776756763458252,-0.1397441178560257,False,0.9933321177959442
530100.530292,0,530100.4286740001,-6.781707286834717,-0.14076708257198334,-6.781707286834717,-0.14076708257198334,False,0.9933321177959442
530100.530292,0,530100.432728,-6.787294387817383,-0.1488063782453537,-6.787294387817383,-0.1488063782453537,False,1.0
530100.530292,0,530100.436698,-6.784214973449707,-0.1454007476568222,-6.784214973449707,-0.1454007476568222,False,1.0
530100.530292,0,530100.440663,-6.78233003616333,-0.1488547921180725,-6.78233003616333,-0.1488547921180725,False,1.0
530100.530292,0,530100.446042,-6.78218412399292,-0.14952754974365234,-6.78218412399292,-0.14952754974365234,False,0.9771990180015564
530100.530292,0,530100.452189,-6.7773261070251465,-0.14862403273582458,-6.7773261070251465,-0.14862403273582458,False,0.9771990180015564
530100.530292,0,530100.4571735,-6.777834892272949,-0.15170226991176605,-6.777834892272949,-0.15170226991176605,False,1.0
530100.530292,0,530100.4613669999,-6.757753372192383,-0.13880157470703125,-6.757753372192383,-0.13880157470703125,False,1.0
530100.530292,0,530100.4651505,-6.762825012207031,-0.13736803829669952,-6.762825012207031,-0.13736803829669952,False,0.9884649515151978
530100.530292,0,530100.467102,-6.764373302459717,-0.13799946010112762,-6.764373302459717,-0.13799946010112762,False,0.9884649515151978
530100.530292,0,530100.4707845,-6.768758773803711,-0.14243201911449432,-6.768758773803711,-0.14243201911449432,False,0.9884649515151978
530100.530292,0,530100.4745789999,-6.7730536460876465,-0.13822190463542938,-6.7730536460876465,-0.13822190463542938,False,0.9863399267196655
530100.530292,0,530100.4785775,-6.773006439208984,-0.13572275638580322,-6.773006439208984,-0.13572275638580322,False,0.9863399267196655
530100.530292,0,530100.4826275,-6.785150527954102,-0.1457056850194931,-6.785150527954102,-0.1457056850194931,False,1.0
530100.530292,0,530100.4867265,-6.786427021026611,-0.1476178914308548,-6.786427021026611,-0.1476178914308548,False,1.0
530100.530292,0,530100.49071,-6.765129566192627,-0.13556234538555145,-6.765129566192627,-0.13556234538555145,False,1.0
530100.530292,0,530100.494621,-6.767428398132324,-0.1370130479335785,-6.767428398132324,-0.1370130479335785,False,0.998153418302536
530100.530292,0,530100.499372,-6.7547197341918945,-0.14041456580162048,-6.7547197341918945,-0.14041456580162048,False,0.998153418302536
530100.530292,0,530100.503798,-6.7577433586120605,-0.14157332479953766,-6.7577433586120605,-0.14157332479953766,False,1.0
530100.530292,0,530100.507075,-6.753922939300537,-0.13546784222126007,-6.753922939300537,-0.13546784222126007,False,0.9938254952430725
530100.530292,0,530100.510626,-6.751940727233887,-0.13363824784755707,-6.751940727233887,-0.13363824784755707,False,0.9715190529823303
530100.530292,0,530100.5145665,-6.783583164215088,-0.14305448532104492,-6.783583164215088,-0.14305448532104492,False,0.9776935577392578
530100.530292,0,530100.5185934999,-6.7884650230407715,-0.14666788280010223,-6.7884650230407715,-0.14666788280010223,False,1.0
530100.530292,0,530100.522609,-6.75745153427124,-0.13407646119594574,-6.75745153427124,-0.13407646119594574,False,1.0
530100.530292,0,530100.5265945,-6.760059833526611,-0.14300301671028137,-6.760059833526611,-0.14300301671028137,False,1.0
530100.530292,0,530100.530595,-6.772134304046631,-0.14677537977695465,-6.772134304046631,-0.14677537977695465,False,0.9881107211112976
530100.530292,0,530100.5346025,-6.772151470184326,-0.14138472080230713,-6.772151470184326,-0.14138472080230713,False,0.9881107211112976
530100.530292,0,530100.5386504999,-6.767731189727783,-0.141852468252182,-6.767731189727783,-0.141852468252182,False,0.9863399267196655
530100.530292,0,530100.5426825,-6.768085479736328,-0.1458217054605484,-6.768085479736328,-0.1458217054605484,False,0.9863399267196655
530100.530292,0,530100.546673,-6.769276142120361,-0.1481555700302124,-6.769276142120361,-0.1481555700302124,False,0.9863399267196655
530100.530292,0,530100.5506465,-6.768824577331543,-0.14709371328353882,-6.768824577331543,-0.14709371328353882,False,0.9863399267196655
530100.530292,0,530100.554634,-6.762797832489014,-0.1423112154006958,-6.762797832489014,-0.1423112154006958,False,0.992237389087677
530100.530292,0,530100.5585934999,-6.760896682739258,-0.13862890005111694,-6.760896682739258,-0.13862890005111694,False,0.992237389087677
530100.5873230001,1,530100.5627295,-6.783825874328613,-0.13692446053028107,-6.783825874328613,-0.13692446053028107,False,1.0
530100.5873230001,1,530100.5687035001,-6.783668041229248,-0.13720260560512543,-6.783668041229248,-0.13720260560512543,False,1.0
530100.5873230001,1,530100.5725325,-6.809637546539307,-0.13922418653964996,-6.809637546539307,-0.13922418653964996,False,0.9863399267196655
530100.5873230001,1,530100.5765585001,-6.81028413772583,-0.13650740683078766,-6.81028413772583,-0.13650740683078766,False,1.0
530100.5873230001,1,530100.5806125,-6.807767868041992,-0.12927772104740143,-6.807767868041992,-0.12927772104740143,False,1.0
530100.5873230001,1,530100.5846134999,-6.772308349609375,-0.1255323886871338,-6.772308349609375,-0.1255323886871338,False,0.9857403635978699
530100.5873230001,1,530100.588558,-6.773334980010986,-0.13171929121017456,-6.773334980010986,-0.13171929121017456,False,0.9857403635978699
530100.5873230001,1,530100.592556,-6.770506381988525,-0.12558269500732422,-6.770506381988525,-0.12558269500732422,False,0.9857403635978699
